d-spacing (Angstrom)	 uncertainty (Angstrom)	 hkl
2.3537	0.001589	1  1  1
2.0384	0.0013779	2  0  0
1.4413	0.00097377	2  2  0
1.2292	0.00083075	3  1  1
1.1769	0.00079584	2  2  2
1.0192	0.00069009	4  0  0
0.93527	0.00063214	3  3  1
0.91159	0.00061623	4  2  0
0.83216	0.00056253	4  2  2
0.78457	0.0005302	5  1  1
0.78457	0.0005302	3  3  3
0.72067	0.00048711	4  4  0
0.6891	0.00046579	5  3  1
0.67946	0.00045938	4  4  2
0.67946	0.00045938	6  0  0
0.64459	0.00043551	6  2  0
0.6217	0.00042021	5  3  3
0.61459	0.00041544	6  2  2
0.58843	0.00039782	4  4  4
0.57086	0.00038581	7  1  1
0.57086	0.00038581	5  5  1
0.56534	0.00038228	6  4  0
0.54478	0.00036822	6  4  2
0.53075	0.00035865	7  3  1
0.53075	0.00035865	5  5  3
0.50959	0.00034458	8  0  0
0.49805	0.0003365	7  3  3
0.49438	0.00033421	8  2  0
0.49438	0.00033421	6  4  4
0.48045	0.00032488	8  2  2
0.48045	0.00032488	6  6  0
0.47074	0.00031827	7  5  1
0.47074	0.00031827	5  5  5
0.46764	0.00031619	6  6  2
0.45579	0.0003081	8  4  0
0.44748	0.00030233	9  1  1
0.44748	0.00030233	7  5  3
0.44481	0.00030085	8  4  2
0.43458	0.0002938	6  6  4
0.42736	0.00028887	9  3  1
0.41608	0.00028118	8  4  4
0.40973	0.00027702	9  3  3
0.40973	0.00027702	7  7  1
0.40973	0.00027702	7  5  5
0.40768	0.00027558	10   0   0
0.40768	0.00027558	8  6  0
0.39976	0.00027041	10   2   0
0.39976	0.00027041	8  6  2
0.39411	0.00026644	9  5  1
0.39411	0.00026644	7  7  3
0.39229	0.00026524	10   2   2
0.39229	0.00026524	6  6  6
